JENIS,BIL,HARI KELEPASAN AM,TARIKH,HARI,W.P.K.LUMPUR,W.P.LABUAN,W.P.PUTRAJAYA,JOHOR,KEDAH,KELANTAN,MELAKA,N.SEMBILAN,PAHANG,PERAK,PERLIS,P.PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU
PERSEKUTUAN,1,Tahun Baharu Cina,17 Februari,Selasa,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,2,Tahun Baharu Cina (Hari Kedua),18 Februari,Rabu,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,3,Hari Raya Puasa *,21 Mac,Sabtu,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,4,Hari Raya Puasa (Hari Kedua) *,22 Mac,Ahad,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,5,Hari Pekerja,1 Mei,Jumaat,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,6,Hari Raya Qurban *,27 Mei,Rabu,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,7,Hari Raya Qurban (Hari Kedua) *,28 Mei,Khamis,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,8,Hari Wesak,31 Mei,Ahad,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,9,Hari Keputeraan Rasmi Seri Paduka Baginda Yang di-Pertuan Agong,1 Jun,Isnin,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,10,Awal Muharam (Maal Hijrah),17 Jun,Rabu,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,11,Hari Keputeraan Nabi Muhammad S.A.W. (Maulidur Rasul),25 Ogos,Selasa,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,12,Hari Kebangsaan,31 Ogos,Isnin,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,13,Hari Malaysia,16 September,Rabu,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
PERSEKUTUAN,14,Hari Deepavali *,8 November,Ahad,√,√,√,√,√,√,√,√,√,√,√,√,√,-,√,√
PERSEKUTUAN,15,Hari Krismas,25 Disember,Jumaat,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
NEGERI,1,Tahun Baharu 2026,1 Januari,Khamis,√,√,√,-,-,-,√,√,√,√,-,√,√,√,√,-
NEGERI,2,Hari Keputeraan Yang di-Pertuan Besar Negeri Sembilan,14 Januari,Rabu,-,-,-,-,-,-,-,√,-,-,-,-,-,-,-,-
NEGERI,3,Israk dan Mikraj,17 Januari,Sabtu,-,-,-,-,√,-,-,√,-,-,√,-,-,-,-,√
NEGERI,4,Hari Thaipusam,1 Februari,Ahad,√,-,√,√,-,-,-,√,-,√,-,√,-,-,√,-
NEGERI,5,Hari Wilayah Persekutuan,1 Februari,Ahad,√,√,√,-,-,-,-,-,-,-,-,-,-,-,-,-
NEGERI,6,Tahun Baharu Cina (Hari Kedua),18 Februari,Rabu,-,-,-,-,-,√,-,-,-,-,-,-,-,-,-,√
NEGERI,7,Awal Ramadan *,19 Februari,Khamis,-,-,-,√,√,-,-,-,-,-,-,-,-,-,-,-
NEGERI,8,Hari Pengisytiharan Tarikh Kemerdekaan,20 Februari,Jumaat,-,-,-,-,-,-,√,-,-,-,-,-,-,-,-,-
NEGERI,9,Hari Ulang Tahun Pertabalan Sultan Terengganu,4 Mac,Rabu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,√
NEGERI,10,Hari Nuzul Al-Quran,7 Mac,Sabtu,√,√,√,-,-,√,-,-,√,√,√,√,-,-,√,√
NEGERI,11,Hari Keputeraan Sultan Johor,23 Mac,Isnin,-,-,-,√,-,-,-,-,-,-,-,-,-,-,-,-
NEGERI,12,Hari Raya Puasa (Hari Ketiga),23 Mac,Isnin,-,-,-,-,-,-,√,-,-,-,-,-,-,-,-,-
NEGERI,13,Hari Jadi Yang di-Pertua Negeri Sabah,30 Mac,Isnin,-,-,-,-,-,-,-,-,-,-,-,-,√,-,-,-
NEGERI,14,Good Friday,3 April,Jumaat,-,-,-,-,-,-,-,-,-,-,-,-,√,√,-,-
NEGERI,15,Hari Keputeraan Sultan Terengganu,26 April,Ahad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,√
NEGERI,16,Hari Ulang Tahun Keputeraan Raja Perlis,17 Mei,Ahad,-,-,-,-,-,-,-,-,-,-,√,-,-,-,-,-
NEGERI,17,Hari Hol Almarhum Sultan Ahmad Shah Al-Musta'in Billah ibni Almarhum Sultan Abu Bakar,22 Mei,Jumaat,-,-,-,-,-,-,-,-,√,-,-,-,-,-,-,-
